route,topic,payload,source
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":347804,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,1.0000,115.0000,-81.0000,-46.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":350817,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,1.0000,116.0000,-81.0000,-46.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":353830,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,1.0000,117.0000,-81.0000,-46.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":356843,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,1.0000,118.0000,-81.0000,-46.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":359856,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,1.0000,119.0000,-81.0000,-46.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":362869,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,2.0000,120.0000,-89.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":365882,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,2.0000,121.0000,-89.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":368895,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,2.0000,122.0000,-89.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":371908,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,2.0000,123.0000,-89.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":374925,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,2.0000,124.0000,-89.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":377938,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,2.0000,125.0000,-89.0000,-42.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
RELAYED,health_monitor/node_1/cs_ppg,"{""ts"":380951,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,3.0000,126.0000,-48.0000,-60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000],""relayed_by"":2}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":383966,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,3.0000,127.0000,-48.0000,-60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":386981,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,3.0000,128.0000,-48.0000,-60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":389994,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,3.0000,129.0000,-48.0000,-60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":393013,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,3.0000,130.0000,-48.0000,-60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":396026,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,3.0000,131.0000,-48.0000,-60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
DIRECT,health_monitor/node_1/cs_ppg,"{""ts"":399039,""hr"":88,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":75.0000,""ir"":[1.0000,5.0000,3.0000,132.0000,-48.0000,-60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000]}",gateway
