node,scenario,cycle,repeat,phase,seq,expect,actual,next_hop,ok,ts,t,source
1,2,3,5,direct_recovery,79,DIRECT,DIRECT,0,1,239009,239026,imu
1,2,4,5,baseline_direct,80,DIRECT,DIRECT,0,1,242037,242054,imu
1,2,4,5,baseline_direct,81,DIRECT,DIRECT,0,1,245065,245082,imu
1,2,4,5,baseline_direct,82,DIRECT,DIRECT,0,1,248093,248109,imu
1,2,4,5,baseline_direct,83,DIRECT,DIRECT,0,1,251119,251139,imu
1,2,4,5,baseline_direct,84,DIRECT,DIRECT,0,1,254150,254168,imu
1,2,4,5,baseline_direct,85,DIRECT,DIRECT,0,1,257178,257195,imu
1,2,4,5,forced_relay,86,RELAY,RELAY,2,1,260205,260228,imu
1,2,4,5,forced_relay,87,RELAY,RELAY,2,1,263229,263259,imu
1,2,4,5,forced_relay,88,RELAY,RELAY,2,1,266259,266286,imu
1,2,4,5,forced_relay,89,RELAY,RELAY,2,1,269287,269311,imu
1,2,4,5,forced_relay,90,RELAY,RELAY,2,1,272312,272340,imu
1,2,4,5,forced_relay,91,RELAY,RELAY,2,1,275340,275371,imu
1,2,4,5,forced_relay,92,RELAY,RELAY,2,1,278372,278406,imu
1,2,4,5,relay_hold,93,RELAY,RELAY,2,1,281407,281430,imu
1,2,4,5,relay_hold,94,RELAY,RELAY,2,1,284431,284457,imu
1,2,4,5,relay_hold,95,RELAY,RELAY,2,1,287457,287477,imu
1,2,4,5,relay_hold,96,RELAY,RELAY,2,1,290477,290510,imu
1,2,4,5,relay_hold,97,RELAY,RELAY,2,1,293510,293534,imu
1,2,4,5,relay_hold,98,RELAY,RELAY,2,1,296534,296563,imu
1,2,4,5,relay_hold,99,RELAY,RELAY,2,1,299563,299591,imu
1,2,4,5,direct_recovery,100,DIRECT,DIRECT,0,1,302591,302611,imu
1,2,4,5,direct_recovery,101,DIRECT,DIRECT,0,1,305621,305644,imu
1,2,4,5,direct_recovery,102,DIRECT,DIRECT,0,1,308655,308680,imu
1,2,4,5,direct_recovery,103,DIRECT,DIRECT,0,1,311691,311709,imu
1,2,4,5,direct_recovery,104,DIRECT,DIRECT,0,1,314719,314744,imu
1,2,4,5,direct_recovery,105,DIRECT,DIRECT,0,1,317754,317778,imu
1,2,5,5,baseline_direct,106,DIRECT,DIRECT,0,1,320788,320808,imu
1,2,5,5,baseline_direct,107,DIRECT,DIRECT,0,1,323819,323839,imu
1,2,5,5,baseline_direct,108,DIRECT,DIRECT,0,1,326849,326872,imu
1,2,5,5,baseline_direct,109,DIRECT,DIRECT,0,1,329883,329906,imu
1,2,5,5,baseline_direct,110,DIRECT,DIRECT,0,1,332916,332936,imu
1,2,5,5,baseline_direct,111,DIRECT,DIRECT,0,1,335946,335965,imu
1,2,5,5,baseline_direct,112,DIRECT,DIRECT,0,1,338975,338995,imu
1,2,5,5,forced_relay,113,RELAY,RELAY,2,1,342005,342032,imu
1,2,5,5,forced_relay,114,RELAY,RELAY,2,1,345032,345052,imu
1,2,5,5,forced_relay,115,RELAY,RELAY,2,1,348052,348077,imu
1,2,5,5,forced_relay,116,RELAY,RELAY,2,1,351078,351134,imu
1,2,5,5,forced_relay,117,RELAY,RELAY,2,1,354135,354156,imu
1,2,5,5,forced_relay,118,RELAY,RELAY,2,1,357156,357180,imu
1,2,5,5,relay_hold,119,RELAY,RELAY,2,1,360180,360205,imu
1,2,5,5,relay_hold,120,RELAY,RELAY,2,1,363205,363229,imu
1,2,5,5,relay_hold,121,RELAY,RELAY,2,1,366229,366249,imu
1,2,5,5,relay_hold,122,RELAY,RELAY,2,1,369249,369275,imu
1,2,5,5,relay_hold,123,RELAY,RELAY,2,1,372276,372307,imu
1,2,5,5,relay_hold,124,RELAY,RELAY,2,1,375307,375333,imu
1,2,5,5,relay_hold,125,RELAY,RELAY,2,1,378333,378371,imu
1,2,5,5,direct_recovery,126,DIRECT,DIRECT,0,1,381372,381387,imu
1,2,5,5,direct_recovery,127,DIRECT,DIRECT,0,1,384397,384425,imu
1,2,5,5,direct_recovery,128,DIRECT,DIRECT,0,1,387435,387451,imu
1,2,5,5,direct_recovery,129,DIRECT,DIRECT,0,1,390461,390477,imu
1,2,5,5,direct_recovery,130,DIRECT,DIRECT,0,1,393487,393501,imu
1,2,5,5,direct_recovery,131,DIRECT,DIRECT,0,1,396512,396534,imu
1,2,5,5,direct_recovery,132,DIRECT,DIRECT,0,1,399544,399561,imu
