window_idx,sample_idx,raw_ir,reconstructed_ir,abs_error
3,3,77736.000000,77703.088063,32.911937
3,4,77741.000000,77712.917065,28.082935
3,5,77743.000000,77713.815748,29.184252
3,6,77736.000000,77713.222081,22.777919
3,7,77734.000000,77704.954386,29.045614
3,8,77733.000000,77710.837546,22.162454
3,9,77740.000000,77716.736441,23.263559
3,10,77745.000000,77720.456311,24.543689
3,11,77747.000000,77725.603696,21.396304
3,12,77747.000000,77729.436942,17.563058
3,13,77743.000000,77725.423347,17.576653
3,14,77741.000000,77725.218170,15.781830
3,15,77750.000000,77729.407023,20.592977
3,16,77752.000000,77722.830295,29.169705
3,17,77757.000000,77721.305451,35.694549
3,18,77761.000000,77721.622841,39.377159
3,19,77757.000000,77721.524656,35.475344
3,20,77756.000000,77725.561967,30.438033
3,21,77758.000000,77726.326665,31.673335
3,22,77754.000000,77724.181380,29.818620
3,23,77753.000000,77727.371394,25.628606
3,24,77754.000000,77718.599160,35.400840
3,25,77756.000000,77723.772370,32.227630
3,26,77759.000000,77726.301138,32.698862
3,27,77764.000000,77728.387451,35.612549
3,28,77764.000000,77727.966087,36.033913
3,29,77764.000000,77738.286132,25.713868
3,30,77765.000000,77735.549475,29.450525
3,31,77764.000000,77730.344556,33.655444
3,32,77769.000000,77727.603563,41.396437
3,33,77770.000000,77723.659215,46.340785
3,34,77772.000000,77727.575245,44.424755
3,35,77768.000000,77725.492692,42.507308
3,36,77768.000000,77729.128972,38.871028
3,37,77768.000000,77731.038037,36.961963
3,38,77774.000000,77730.088133,43.911867
3,39,77769.000000,77726.444347,42.555653
3,40,77771.000000,77732.786516,38.213484
3,41,77770.000000,77727.673446,42.326554
3,42,77767.000000,77725.603489,41.396511
3,43,77766.000000,77721.991009,44.008991
3,44,77764.000000,77727.457105,36.542895
3,45,77766.000000,77730.684710,35.315290
3,46,77767.000000,77731.394027,35.605973
3,47,77768.000000,77730.086749,37.913251
3,48,77767.000000,77726.101323,40.898677
3,49,77762.000000,77718.995672,43.004328
3,50,77758.000000,77718.735312,39.264688
3,51,77755.000000,77723.794204,31.205796
3,52,77753.000000,77720.798415,32.201585
3,53,77754.000000,77720.400998,33.599002
3,54,77756.000000,77722.337259,33.662741
3,55,77752.000000,77718.684581,33.315419
3,56,77749.000000,77716.009989,32.990011
3,57,77746.000000,77714.580960,31.419040
3,58,77738.000000,77707.547272,30.452728
3,59,77735.000000,77706.464254,28.535746
3,60,77726.000000,77695.131237,30.868763
3,61,77730.000000,77700.327594,29.672406
3,62,77727.000000,77703.299713,23.700287
3,63,77728.000000,77699.598194,28.401806
4,0,77728.000000,77699.598194,28.401806
4,1,77734.000000,77696.298102,37.701898
4,2,77733.000000,77692.690375,40.309625
4,3,77739.000000,77707.654152,31.345848
4,4,77737.000000,77707.281723,29.718277
4,5,77739.000000,77699.867075,39.132925
4,6,77740.000000,77695.293235,44.706765
4,7,77741.000000,77704.204172,36.795828
4,8,77747.000000,77698.007957,48.992043
4,9,77748.000000,77698.988041,49.011959
4,10,77746.000000,77694.520406,51.479594
4,11,77746.000000,77698.422822,47.577178
4,12,77743.000000,77698.637360,44.362640
4,13,77748.000000,77700.166938,47.833062
4,14,77750.000000,77691.073103,58.926897
4,15,77757.000000,77702.367365,54.632635
4,16,77753.000000,77724.504696,28.495304
4,17,77759.000000,77724.615522,34.384478
4,18,77757.000000,77720.487462,36.512538
4,19,77756.000000,77725.274805,30.725195
4,20,77753.000000,77726.168667,26.831333
4,21,77746.000000,77715.485710,30.514290
4,22,77747.000000,77703.421690,43.578310
4,23,77742.000000,77704.942524,37.057476
4,24,77739.000000,77722.205473,16.794527
4,25,77743.000000,77719.376967,23.623033
4,26,77746.000000,77714.252098,31.747902
4,27,77751.000000,77722.265208,28.734792
4,28,77751.000000,77730.629094,20.370906
4,29,77751.000000,77721.375432,29.624568
4,30,77754.000000,77719.712800,34.287200
4,31,77755.000000,77727.429492,27.570508
4,32,77757.000000,77735.873055,21.126945
4,33,77757.000000,77742.261064,14.738936
4,34,77764.000000,77745.826138,18.173862
4,35,77764.000000,77739.258294,24.741706
4,36,77767.000000,77747.802552,19.197448
4,37,77766.000000,77750.725463,15.274537
4,38,77764.000000,77738.004214,25.995786
4,39,77770.000000,77738.488003,31.511997
4,40,77775.000000,77746.057874,28.942126
4,41,77771.000000,77750.290960,20.709040
4,42,77777.000000,77745.973250,31.026750
4,43,77781.000000,77744.676681,36.323319
4,44,77779.000000,77748.207726,30.792274
4,45,77783.000000,77759.664625,23.335375
4,46,77785.000000,77751.673662,33.326338
4,47,77789.000000,77750.826398,38.173602
4,48,77788.000000,77756.328755,31.671245
4,49,77791.000000,77763.015803,27.984197
4,50,77791.000000,77748.856903,42.143097
4,51,77795.000000,77749.438253,45.561747
4,52,77801.000000,77754.650154,46.349846
4,53,77806.000000,77762.298601,43.701399
4,54,77806.000000,77774.442178,31.557822
4,55,77809.000000,77775.951938,33.048062
4,56,77811.000000,77771.738524,39.261476
4,57,77812.000000,77780.991071,31.008929
4,58,77813.000000,77776.229515,36.770485
4,59,77804.000000,77756.181647,47.818353
4,60,77804.000000,77756.290341,47.709659
4,61,77804.000000,77764.419487,39.580513
4,62,77798.000000,77763.381067,34.618933
4,63,77799.000000,77754.315060,44.684940
5,0,77812.000000,77754.315060,57.684940
5,1,77813.000000,77754.623843,58.376157
5,2,77812.000000,77756.578676,55.421324
5,3,77818.000000,77755.034162,62.965838
5,4,77818.000000,77757.585180,60.414820
5,5,77817.000000,77756.263090,60.736910
5,6,77815.000000,77759.773121,55.226879
5,7,77820.000000,77766.292567,53.707433
5,8,77822.000000,77773.796978,48.203022
5,9,77824.000000,77776.525713,47.474287
5,10,77826.000000,77780.737196,45.262804
5,11,77828.000000,77775.334151,52.665849
5,12,77831.000000,77779.858425,51.141575
5,13,77834.000000,77778.448113,55.551887
5,14,77834.000000,77786.014196,47.985804
5,15,77835.000000,77793.374059,41.625941
5,16,77838.000000,77788.180055,49.819945
5,17,77834.000000,77792.091472,41.908528
5,18,77839.000000,77793.942491,45.057509
5,19,77838.000000,77793.986471,44.013529
5,20,77838.000000,77798.093694,39.906306
5,21,77838.000000,77796.973726,41.026274
5,22,77840.000000,77788.735097,51.264903
5,23,77841.000000,77789.664843,51.335157
5,24,77839.000000,77782.233669,56.766331
5,25,77838.000000,77788.806694,49.193306
5,26,77835.000000,77786.737312,48.262688
5,27,77832.000000,77783.477738,48.522262
5,28,77826.000000,77786.041593,39.958407
5,29,77822.000000,77775.167219,46.832781
5,30,77827.000000,77769.357065,57.642935
5,31,77827.000000,77773.626091,53.373909
5,32,77829.000000,77764.963047,64.036953
5,33,77828.000000,77766.088850,61.911150
5,34,77831.000000,77765.018259,65.981741
5,35,77832.000000,77760.635993,71.364007
5,36,77824.000000,77763.160790,60.839210
5,37,77827.000000,77757.708850,69.291150
5,38,77827.000000,77760.863251,66.136749
5,39,77827.000000,77764.793535,62.206465
5,40,77830.000000,77758.136932,71.863068
5,41,77829.000000,77758.065361,70.934639
5,42,77830.000000,77757.374429,72.625571
5,43,77829.000000,77752.902141,76.097859
5,44,77837.000000,77764.072858,72.927142
5,45,77840.000000,77764.476522,75.523478
5,46,77839.000000,77766.231237,72.768763
5,47,77840.000000,77766.538274,73.461726
5,48,77842.000000,77762.010083,79.989917
5,49,77843.000000,77768.801765,74.198235
5,50,77844.000000,77769.468638,74.531362
5,51,77850.000000,77774.009591,75.990409
5,52,77853.000000,77776.949452,76.050548
5,53,77855.000000,77775.346302,79.653698
5,54,77853.000000,77772.970479,80.029521
5,55,77854.000000,77782.041392,71.958608
5,56,77857.000000,77781.327044,75.672956
5,57,77859.000000,77786.925652,72.074348
5,58,77858.000000,77784.761122,73.238878
5,59,77859.000000,77785.063421,73.936579
5,60,77859.000000,77783.504801,75.495199
5,61,77860.000000,77784.712251,75.287749
5,62,77859.000000,77787.840400,71.159600
5,63,77857.000000,77788.416832,68.583168
6,0,77844.000000,77788.416832,55.583168
6,1,77846.000000,77790.484218,55.515782
6,2,77842.000000,77783.658739,58.341261
6,3,77846.000000,77784.347641,61.652359
6,4,77846.000000,77795.293898,50.706102
6,5,77846.000000,77796.513197,49.486803
6,6,77845.000000,77797.257374,47.742626
6,7,77851.000000,77800.903990,50.096010
6,8,77848.000000,77794.089156,53.910844
6,9,77852.000000,77794.922345,57.077655
6,10,77852.000000,77804.129205,47.870795
6,11,77856.000000,77806.524776,49.475224
6,12,77860.000000,77811.254880,48.745120
6,13,77860.000000,77808.578579,51.421421
6,14,77855.000000,77796.597948,58.402052
6,15,77858.000000,77800.733087,57.266913
6,16,77861.000000,77810.864995,50.135005
6,17,77861.000000,77811.783826,49.216174
6,18,77866.000000,77814.342631,51.657369
6,19,77866.000000,77819.612534,46.387466
6,20,77865.000000,77813.636733,51.363267
6,21,77870.000000,77814.562552,55.437448
6,22,77869.000000,77819.747569,49.252431
6,23,77871.000000,77822.293184,48.706816
6,24,77875.000000,77828.251718,46.748282
6,25,77874.000000,77835.270539,38.729461
6,26,77874.000000,77824.006650,49.993350
6,27,77869.000000,77818.899276,50.100724
6,28,77866.000000,77820.711574,45.288426
6,29,77869.000000,77824.588744,44.411256
6,30,77863.000000,77834.189217,28.810783
6,31,77862.000000,77829.790161,32.209839
6,32,77860.000000,77819.152017,40.847983
6,33,77862.000000,77822.870498,39.129502
6,34,77859.000000,77832.831310,26.168690
6,35,77859.000000,77832.982669,26.017331
6,36,77860.000000,77843.325439,16.674561
6,37,77863.000000,77842.089872,20.910128
6,38,77864.000000,77834.945675,29.054325
6,39,77866.000000,77835.251030,30.748970
6,40,77867.000000,77846.128411,20.871589
6,41,77864.000000,77843.842229,20.157771
6,42,77865.000000,77848.898812,16.101188
6,43,77863.000000,77847.750418,15.249582
6,44,77855.000000,77836.772027,18.227973
6,45,77858.000000,77836.147210,21.852790
6,46,77858.000000,77839.421958,18.578042
6,47,77862.000000,77840.503324,21.496676
6,48,77865.000000,77847.399054,17.600946
6,49,77865.000000,77849.487040,15.512960
6,50,77865.000000,77839.870861,25.129139
6,51,77868.000000,77841.751304,26.248696
6,52,77866.000000,77837.786721,28.213279
6,53,77868.000000,77841.142015,26.857985
6,54,77870.000000,77850.883804,19.116196
6,55,77872.000000,77854.088327,17.911673
6,56,77883.000000,77838.457409,44.542591
6,57,77881.000000,77836.523100,44.476900
6,58,77882.000000,77837.360101,44.639899
6,59,77881.000000,77837.893956,43.106044
6,60,77879.000000,77841.638657,37.361343
6,61,77877.000000,77841.462021,35.537979
6,62,77869.000000,77831.955162,37.044838
6,63,77868.000000,77833.859807,34.140193
7,0,77862.000000,77833.859807,28.140193
7,1,77866.000000,77837.674198,28.325802
7,2,77865.000000,77840.535402,24.464598
7,3,77867.000000,77841.750148,25.249852
7,4,77871.000000,77843.844609,27.155391
7,5,77874.000000,77848.620282,25.379718
7,6,77873.000000,77847.514912,25.485088
7,7,77874.000000,77850.046621,23.953379
7,8,77874.000000,77846.368868,27.631132
7,9,77877.000000,77848.883331,28.116669
7,10,77880.000000,77852.387431,27.612569
7,11,77885.000000,77851.947112,33.052888
7,12,77883.000000,77852.625438,30.374562
7,13,77885.000000,77854.952012,30.047988
7,14,77885.000000,77860.935706,24.064294
7,15,77883.000000,77858.017591,24.982409
7,16,77885.000000,77849.795283,35.204717
7,17,77891.000000,77859.361639,31.638361
7,18,77891.000000,77853.790731,37.209269
7,19,77890.000000,77851.696423,38.303577
7,20,77888.000000,77851.518254,36.481746
7,21,77890.000000,77854.070385,35.929615
7,22,77885.000000,77855.661096,29.338904
7,23,77887.000000,77854.039410,32.960590
7,24,77889.000000,77851.884304,37.115696
7,25,77887.000000,77853.290282,33.709718
7,26,77883.000000,77848.296461,34.703539
7,27,77877.000000,77844.336399,32.663601
7,28,77872.000000,77840.702149,31.297851
7,29,77872.000000,77838.825812,33.174188
7,30,77874.000000,77838.610022,35.389978
7,31,77874.000000,77839.550243,34.449757
7,32,77873.000000,77839.282367,33.717633
