window_idx,measurement_idx,measurement_value
11,15,0.508000
11,16,-0.331000
11,17,0.331000
11,18,-0.376000
11,19,-0.287000
11,20,0.773000
11,21,1.436000
11,22,-0.862000
11,23,-0.552000
11,24,-0.199000
11,25,4.795000
11,26,0.818000
11,27,-0.066000
11,28,0.818000
11,29,0.862000
11,30,-0.376000
11,31,0.155000
12,0,-0.000000
12,1,-0.530000
12,2,-0.044000
12,3,0.442000
12,4,-2.873000
12,5,-0.309000
12,6,-0.088000
12,7,-0.265000
12,8,8.353000
12,9,0.530000
12,10,1.679000
12,11,-0.221000
12,12,-0.354000
12,13,0.354000
12,14,0.486000
12,15,0.133000
12,16,1.061000
12,17,-1.900000
12,18,0.398000
12,19,-0.177000
12,20,-0.486000
12,21,-1.635000
12,22,0.309000
12,23,-0.309000
12,24,-0.354000
12,25,1.945000
12,26,0.398000
12,27,-0.309000
12,28,0.619000
12,29,0.354000
12,30,0.000000
12,31,-1.016000
13,0,-0.000000
13,1,-1.016000
13,2,0.354000
13,3,-0.044000
13,4,-0.088000
13,5,0.398000
13,6,0.044000
13,7,-0.442000
13,8,13.700000
13,9,0.177000
13,10,3.977000
13,11,0.442000
13,12,-0.221000
13,13,0.751000
13,14,-0.928000
13,15,0.530000
13,16,0.309000
13,17,0.265000
13,18,0.309000
13,19,-0.265000
13,20,1.016000
13,21,3.270000
13,22,-0.133000
13,23,0.221000
13,24,-0.177000
13,25,-0.884000
13,26,-0.619000
13,27,-0.575000
13,28,0.928000
13,29,0.619000
13,30,-0.663000
13,31,-0.442000
14,0,-0.000000
14,1,-0.707000
14,2,-0.354000
14,3,0.044000
14,4,0.088000
14,5,0.619000
14,6,-0.442000
14,7,-0.177000
14,8,11.844000
14,9,0.177000
14,10,4.287000
14,11,0.133000
14,12,-0.486000
14,13,0.177000
14,14,-0.265000
14,15,-0.530000
14,16,-0.309000
14,17,0.088000
14,18,0.619000
14,19,-0.619000
14,20,0.265000
14,21,1.812000
14,22,0.663000
14,23,0.928000
14,24,-0.486000
14,25,-2.828000
14,26,-0.442000
14,27,-0.442000
14,28,1.326000
14,29,2.342000
14,30,0.840000
14,31,0.751000
15,0,-0.000000
15,1,-0.199000
15,2,-0.287000
15,3,-0.641000
15,4,1.392000
15,5,-0.022000
15,6,-0.641000
15,7,-0.110000
15,8,-4.044000
15,9,0.287000
15,10,1.525000
15,11,0.376000
15,12,0.552000
15,13,0.464000
15,14,-0.950000
15,15,0.022000
15,16,-0.155000
15,17,2.232000
15,18,0.287000
15,19,0.552000
15,20,0.818000
