node,scenario,cycle,repeat,idx,name,self,neighbor,expect,t,source
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1005,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1015,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1026,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1036,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1046,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1057,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1057,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1067,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1077,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1088,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1098,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1108,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1119,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1129,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1139,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1139,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1150,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1160,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1171,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1181,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1191,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1201,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1212,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1222,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1222,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1233,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1243,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1253,gateway
3,1,1,5,0,baseline_direct,-45,-57,DIRECT,1264,gateway
