window_idx,axis,measurement_idx,measurement_value
2,ay,0,0.000000
2,ay,1,-0.035000
2,ay,2,-0.033000
2,ay,3,-0.014000
2,ay,4,0.034000
2,ay,5,0.033000
2,ay,6,-0.043000
2,ay,7,-0.016000
2,ay,8,0.845000
2,ay,9,-0.025000
2,ay,10,-0.079000
2,ay,11,-0.026000
2,ay,12,-0.077000
2,ay,13,0.047000
2,ay,14,-0.072000
2,ay,15,0.002000
2,ay,16,-0.058000
2,ay,17,0.261000
2,ay,18,0.046000
2,ay,19,0.010000
2,ay,20,-0.074000
2,ay,21,-0.008000
2,ay,22,0.012000
2,ay,23,-0.012000
2,ay,24,-0.011000
2,ay,25,0.106000
2,ay,26,0.025000
2,ay,27,-0.006000
2,ay,28,-0.059000
2,ay,29,-0.046000
2,ay,30,-0.014000
2,ay,31,-0.003000
2,az,0,-0.000000
2,az,1,-0.038000
2,az,2,-0.051000
2,az,3,0.023000
2,az,4,-0.011000
2,az,5,0.006000
2,az,6,-0.006000
2,az,7,0.020000
2,az,8,0.693000
2,az,9,-0.038000
2,az,10,0.045000
2,az,11,-0.005000
2,az,12,0.008000
2,az,13,0.038000
2,az,14,-0.097000
2,az,15,-0.045000
2,az,16,-0.026000
2,az,17,0.062000
2,az,18,-0.012000
2,az,19,0.032000
2,az,20,0.050000
2,az,21,-0.070000
2,az,22,-0.018000
2,az,23,-0.004000
2,az,24,0.026000
2,az,25,0.021000
2,az,26,-0.005000
2,az,27,-0.017000
2,az,28,0.029000
2,az,29,0.079000
2,az,30,0.001000
2,az,31,0.027000
2,gx,0,0.000000
2,gx,1,-0.348000
2,gx,2,0.009000
2,gx,3,0.892000
2,gx,4,-3.556000
2,gx,5,-1.096000
2,gx,6,2.531000
2,gx,7,0.105000
2,gx,8,1.965000
2,gx,9,-0.576000
2,gx,10,1.047000
2,gx,11,0.871000
2,gx,12,-1.635000
2,gx,13,-0.840000
2,gx,14,1.753000
2,gx,15,-1.359000
2,gx,16,0.614000
2,gx,17,-2.284000
2,gx,18,-0.157000
2,gx,19,0.063000
2,gx,20,-0.619000
2,gx,21,-1.300000
2,gx,22,-0.528000
2,gx,23,1.203000
2,gx,24,0.307000
2,gx,25,-7.075000
2,gx,26,-0.971000
2,gx,27,-0.280000
2,gx,28,0.712000
2,gx,29,2.294000
2,gx,30,0.610000
2,gx,31,0.442000
2,gy,0,0.000000
2,gy,1,-0.184000
2,gy,2,-0.209000
2,gy,3,-0.273000
2,gy,4,2.856000
2,gy,5,0.756000
2,gy,6,-1.457000
2,gy,7,0.723000
2,gy,8,8.279000
2,gy,9,-0.032000
2,gy,10,-1.478000
2,gy,11,0.297000
2,gy,12,-0.465000
2,gy,13,0.137000
2,gy,14,-0.359000
2,gy,15,0.324000
2,gy,16,0.128000
2,gy,17,-1.423000
2,gy,18,0.500000
2,gy,19,-0.357000
2,gy,20,0.584000
2,gy,21,1.301000
2,gy,22,1.196000
2,gy,23,-0.095000
2,gy,24,0.122000
2,gy,25,2.831000
2,gy,26,0.999000
2,gy,27,0.549000
2,gy,28,-1.041000
2,gy,29,-2.895000
2,gy,30,-0.181000
2,gy,31,-0.262000
2,gz,0,-0.000000
2,gz,1,0.084000
2,gz,2,-0.060000
2,gz,3,0.901000
2,gz,4,-4.803000
2,gz,5,-0.672000
2,gz,6,1.349000
2,gz,7,-0.475000
2,gz,8,-3.085000
2,gz,9,-0.242000
2,gz,10,-0.620000
2,gz,11,-0.061000
2,gz,12,-0.830000
2,gz,13,-0.005000
2,gz,14,-0.171000
2,gz,15,-1.002000
2,gz,16,-0.072000
2,gz,17,3.167000
2,gz,18,0.107000
2,gz,19,1.229000
2,gz,20,-0.770000
2,gz,21,-2.076000
2,gz,22,-0.750000
2,gz,23,-0.126000
2,gz,24,-0.245000
2,gz,25,-0.636000
2,gz,26,-0.485000
2,gz,27,0.367000
2,gz,28,-0.628000
2,gz,29,-2.621000
2,gz,30,-0.052000
2,gz,31,-0.524000
3,ax,0,0.000000
3,ax,1,-0.010000
3,ax,2,0.020000
3,ax,3,-0.003000
3,ax,4,-0.010000
3,ax,5,0.004000
3,ax,6,-0.009000
3,ax,7,-0.007000
3,ax,8,0.332000
3,ax,9,-0.004000
3,ax,10,-0.012000
3,ax,11,0.020000
3,ax,12,-0.001000
3,ax,13,-0.014000
3,ax,14,0.024000
3,ax,15,-0.008000
3,ax,16,0.014000
3,ax,17,0.017000
3,ax,18,0.007000
3,ax,19,0.030000
3,ax,20,0.020000
3,ax,21,0.092000
3,ax,22,0.018000
3,ax,23,0.008000
3,ax,24,0.029000
3,ax,25,0.033000
3,ax,26,0.006000
3,ax,27,0.009000
3,ax,28,-0.021000
3,ax,29,-0.041000
3,ax,30,0.017000
3,ax,31,0.003000
3,ay,0,-0.000000
3,ay,1,-0.007000
3,ay,2,-0.021000
3,ay,3,0.001000
3,ay,4,0.007000
3,ay,5,0.000000
3,ay,6,-0.022000
3,ay,7,0.030000
3,ay,8,-0.129000
3,ay,9,0.002000
3,ay,10,-0.028000
3,ay,11,0.022000
3,ay,12,0.023000
3,ay,13,-0.012000
3,ay,14,0.026000
3,ay,15,-0.007000
3,ay,16,-0.001000
3,ay,17,0.008000
3,ay,18,-0.011000
3,ay,19,0.016000
3,ay,20,0.038000
3,ay,21,0.082000
3,ay,22,-0.002000
3,ay,23,-0.003000
3,ay,24,-0.016000
3,ay,25,-0.045000
3,ay,26,0.020000
3,ay,27,0.008000
3,ay,28,-0.004000
3,ay,29,-0.007000
3,ay,30,-0.005000
3,ay,31,-0.009000
3,az,0,-0.000000
3,az,1,0.033000
3,az,2,0.002000
3,az,3,0.003000
3,az,4,-0.020000
3,az,5,-0.001000
3,az,6,0.005000
3,az,7,-0.003000
3,az,8,-0.474000
3,az,9,0.001000
3,az,10,0.020000
3,az,11,-0.017000
3,az,12,0.008000
3,az,13,-0.019000
3,az,14,0.023000
3,az,15,0.032000
3,az,16,-0.011000
3,az,17,-0.059000
3,az,18,-0.000000
3,az,19,-0.021000
3,az,20,0.025000
3,az,21,-0.052000
3,az,22,-0.009000
3,az,23,-0.001000
3,az,24,-0.029000
3,az,25,-0.070000
3,az,26,-0.065000
3,az,27,0.018000
3,az,28,-0.016000
3,az,29,-0.015000
3,az,30,0.016000
3,az,31,-0.005000
3,gx,0,-0.000000
3,gx,1,-0.140000
3,gx,2,-0.003000
3,gx,3,0.065000
3,gx,4,-0.588000
3,gx,5,0.147000
3,gx,6,-0.371000
3,gx,7,-0.099000
3,gx,8,1.831000
3,gx,9,0.076000
3,gx,10,-1.663000
3,gx,11,-0.513000
3,gx,12,0.236000
3,gx,13,0.625000
3,gx,14,-1.355000
3,gx,15,0.210000
3,gx,16,0.002000
3,gx,17,-0.505000
3,gx,18,-0.050000
3,gx,19,-0.219000
3,gx,20,1.009000
3,gx,21,2.062000
3,gx,22,-0.162000
3,gx,23,0.059000
3,gx,24,-0.085000
3,gx,25,-1.340000
3,gx,26,-0.422000
3,gx,27,-0.067000
3,gx,28,0.199000
3,gx,29,-0.331000
3,gx,30,0.071000
3,gx,31,-0.295000
3,gy,0,0.000000
3,gy,1,0.030000
3,gy,2,-0.202000
3,gy,3,0.063000
3,gy,4,-0.281000
3,gy,5,-0.023000
3,gy,6,0.080000
3,gy,7,-0.001000
3,gy,8,3.576000
3,gy,9,-0.096000
3,gy,10,1.472000
3,gy,11,0.067000
3,gy,12,-0.577000
3,gy,13,-0.473000
3,gy,14,1.128000
3,gy,15,-0.332000
3,gy,16,0.245000
3,gy,17,-0.562000
3,gy,18,0.756000
3,gy,19,0.171000
3,gy,20,-0.082000
3,gy,21,-0.799000
3,gy,22,0.177000
3,gy,23,-0.168000
3,gy,24,-0.102000
3,gy,25,0.388000
3,gy,26,-0.196000
3,gy,27,-0.029000
3,gy,28,0.177000
3,gy,29,-0.823000
3,gy,30,-0.284000
3,gy,31,-0.368000
3,gz,0,0.000000
3,gz,1,-0.097000
3,gz,2,0.001000
3,gz,3,0.068000
3,gz,4,-0.909000
3,gz,5,0.703000
3,gz,6,-1.504000
3,gz,7,-0.326000
3,gz,8,1.317000
3,gz,9,0.058000
3,gz,10,-2.020000
3,gz,11,-0.717000
3,gz,12,0.350000
3,gz,13,0.604000
3,gz,14,-1.287000
3,gz,15,0.133000
3,gz,16,0.216000
3,gz,17,-1.423000
3,gz,18,-0.158000
3,gz,19,-0.257000
3,gz,20,1.248000
3,gz,21,2.387000
3,gz,22,-0.416000
3,gz,23,0.042000
3,gz,24,0.046000
3,gz,25,-2.291000
3,gz,26,-0.926000
3,gz,27,0.096000
3,gz,28,-0.167000
3,gz,29,-0.812000
3,gz,30,0.295000
3,gz,31,-0.159000
4,ax,0,-0.000000
4,ax,1,0.004000
4,ax,2,0.024000
4,ax,3,-0.003000
4,ax,4,-0.006000
4,ax,5,-0.002000
4,ax,6,-0.003000
4,ax,7,0.006000
4,ax,8,-0.340000
4,ax,9,-0.022000
4,ax,10,0.011000
4,ax,11,-0.007000
4,ax,12,0.050000
4,ax,13,0.016000
4,ax,14,-0.012000
4,ax,15,-0.012000
4,ax,16,0.011000
4,ax,17,-0.050000
4,ax,18,0.012000
4,ax,19,-0.002000
4,ax,20,-0.021000
4,ax,21,-0.058000
4,ax,22,0.001000
4,ax,23,-0.006000
4,ax,24,0.011000
4,ax,25,-0.001000
4,ax,26,-0.014000
4,ax,27,-0.004000
4,ax,28,0.028000
