node,scenario,cycle,repeat,idx,name,self,neighbor,expect,t,source
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1051,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1051,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1062,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1072,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1082,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1093,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1103,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1113,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1124,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1134,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1134,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1145,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1155,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1165,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1176,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1186,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1197,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1207,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1207,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1217,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1228,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1238,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1249,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1259,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1269,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1280,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1290,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1290,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1300,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1311,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1321,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1332,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1342,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1352,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1363,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1373,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1373,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1383,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1394,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1404,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1415,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1425,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1435,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1446,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1456,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1456,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1466,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1477,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1487,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1498,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1508,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1518,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1529,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1539,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1539,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1549,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1560,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1570,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1581,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1591,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1601,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1611,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1622,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1622,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1632,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1643,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1653,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1663,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1674,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1684,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1695,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1695,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1705,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1715,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1726,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1736,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1747,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1757,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1767,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1778,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1778,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1788,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1798,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1809,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1819,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1830,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1840,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1850,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1861,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1861,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1871,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1881,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1892,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1902,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1913,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1923,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1933,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1944,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1944,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1954,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1964,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1975,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1985,gateway
3,1,1,5,0,baseline_direct,-46,-53,DIRECT,1996,gateway
2,1,5,5,0,baseline_direct,-49,-54,DIRECT,320000,ppg
1,1,4,5,0,baseline_direct,-53,-59,DIRECT,320000,imu
3,1,1,5,1,forced_relay,-46,-53,RELAY,20000,gateway
2,1,5,5,1,forced_relay,-80,-44,RELAY,340000,ppg
1,1,5,5,1,forced_relay,-81,-46,RELAY,340000,imu
3,1,1,5,2,relay_hold,-83,-40,RELAY,40000,gateway
2,1,5,5,2,relay_hold,-88,-44,RELAY,360000,ppg
1,1,5,5,2,relay_hold,-89,-42,RELAY,360000,imu
3,1,1,5,3,direct_recovery,-83,-40,DIRECT,60000,gateway
2,1,5,5,3,direct_recovery,-52,-65,DIRECT,380000,ppg
1,1,5,5,3,direct_recovery,-48,-60,DIRECT,380000,imu
3,1,2,5,0,baseline_direct,-46,-53,DIRECT,80000,gateway
1,1,6,5,0,baseline_direct,-47,-53,DIRECT,400000,imu
2,1,6,5,0,baseline_direct,-45,-57,DIRECT,401000,ppg
3,1,2,5,1,forced_relay,-80,-45,RELAY,100000,gateway
2,1,6,5,1,forced_relay,-80,-40,RELAY,420011,ppg
1,1,6,5,1,forced_relay,-83,-41,RELAY,420010,imu
3,1,2,5,2,relay_hold,-89,-43,RELAY,120000,gateway
2,1,6,5,2,relay_hold,-88,-41,RELAY,440022,ppg
1,1,6,5,2,relay_hold,-85,-41,RELAY,440021,imu
3,1,2,5,3,direct_recovery,-89,-43,DIRECT,140000,gateway
2,1,6,5,3,direct_recovery,-48,-65,DIRECT,460033,ppg
1,1,6,5,3,direct_recovery,-53,-60,DIRECT,460032,imu
